ndvi,ndwi,s1_vh_db,s1_vv_vh_diff_db,crop_type
0.4795,-0.1744,-18.608,11.586,wheat_cereal
0.5456,-0.2487,-21.684,8.832,wheat_cereal
0.4394,-0.0207,-9.17,2.261,paddy_rice
0.4612,-0.1285,-18.389,4.938,other_row_crop
0.2391,-0.113,-23.073,10.293,wheat_cereal
0.2539,-0.0495,-17.644,9.168,other_row_crop
0.343,-0.1071,-22.567,8.626,wheat_cereal
0.3231,-0.0561,-16.95,2.569,other_row_crop
0.5701,-0.1322,-22.572,8.858,wheat_cereal
0.4955,-0.06,-11.697,3.983,paddy_rice
0.4515,-0.091,-19.233,10.951,other_row_crop
0.4691,-0.1284,-13.038,3.707,paddy_rice
0.5827,-0.1848,-20.011,0.187,paddy_rice
0.1723,-0.2916,-21.801,4.965,other_row_crop
0.4686,-0.1795,-18.456,12.052,wheat_cereal
0.3689,-0.0543,-18.015,4.483,other_row_crop
0.1976,0.085,-13.681,3.679,other_row_crop
0.6541,-0.3436,-19.638,14.508,wheat_cereal
0.6071,-0.2007,-11.489,7.133,paddy_rice
0.4002,-0.0911,-17.764,3.721,other_row_crop
0.7133,-0.0527,-20.261,9.425,wheat_cereal
0.5025,-0.2154,-15.147,8.324,wheat_cereal
0.5,0.1836,-17.139,1.802,paddy_rice
0.3708,-0.3149,-20.541,7.197,wheat_cereal
0.4273,0.0273,-12.898,7.806,paddy_rice
0.6304,-0.2384,-19.371,9.37,wheat_cereal
0.5182,0.0359,-21.26,7.952,other_row_crop
0.4857,-0.2465,-19.114,6.907,wheat_cereal
0.7371,-0.0773,-24.982,6.187,other_row_crop
0.3913,-0.1982,-21.217,3.876,other_row_crop
0.5422,-0.312,-17.733,6.927,wheat_cereal
0.5796,-0.1351,-17.43,8.557,other_row_crop
0.4804,-0.016,-16.523,4.213,paddy_rice
0.368,-0.248,-16.688,9.208,wheat_cereal
0.1305,-0.1268,-18.334,4.841,other_row_crop
0.4584,0.0071,-19.025,11.117,other_row_crop
0.48,-0.0749,-15.646,3.21,other_row_crop
0.5409,-0.0332,-13.331,5.787,paddy_rice
0.5131,-0.0794,-15.271,5.637,paddy_rice
0.639,-0.1505,-21.725,6.229,other_row_crop
0.446,-0.207,-17.767,6.357,other_row_crop
0.313,-0.3349,-18.173,10.023,wheat_cereal
0.5656,-0.0427,-13.412,6.12,paddy_rice
0.4717,-0.1636,-19.554,8.609,wheat_cereal
0.3819,-0.0201,-15.041,2.784,paddy_rice
0.4661,-0.0876,-19.173,10.675,other_row_crop
0.514,-0.1988,-16.001,4.574,paddy_rice
0.4307,-0.0773,-18.479,5.276,paddy_rice
0.2409,-0.4178,-15.367,9.993,other_row_crop
0.5195,-0.0087,-13.028,4.303,paddy_rice
0.3226,-0.3775,-18.608,9.715,wheat_cereal
0.364,-0.3231,-13.273,3.841,other_row_crop
0.4746,-0.0084,-13.113,3.963,paddy_rice
0.4794,-0.1091,-15.64,1.47,paddy_rice
0.4037,-0.1496,-18.585,11.591,wheat_cereal
0.5696,-0.0192,-15.944,8.632,paddy_rice
0.4777,-0.0636,-15.138,7.056,paddy_rice
0.2676,-0.038,-18.679,9.847,other_row_crop
0.4629,-0.0128,-12.066,4.077,paddy_rice
0.4251,-0.2887,-17.382,2.272,other_row_crop
0.6037,-0.1963,-19.733,12.069,wheat_cereal
0.9302,-0.3279,-19.818,8.89,wheat_cereal
0.4313,-0.1152,-13.238,10.631,other_row_crop
0.5334,-0.0004,-21.151,9.582,other_row_crop
0.3705,-0.3871,-16.192,6.772,other_row_crop
0.3206,-0.1868,-19.895,4.178,other_row_crop
0.5194,-0.1892,-20.664,10.47,other_row_crop
0.5021,-0.1674,-17.985,7.72,other_row_crop
0.6444,-0.1464,-22.697,10.778,wheat_cereal
0.5065,-0.0662,-17.528,5.593,paddy_rice
0.4412,0.0366,-15.593,7.14,paddy_rice
0.6219,0.0109,-14.927,8.306,paddy_rice
0.0994,-0.0416,-16.29,7.492,other_row_crop
0.2818,-0.2541,-18.391,11.975,wheat_cereal
0.3756,-0.4087,-18.274,7.369,wheat_cereal
0.2044,-0.2026,-15.657,8.242,other_row_crop
0.3016,-0.0622,-20.608,5.435,other_row_crop
0.514,-0.2049,-17.323,13.165,wheat_cereal
0.6597,-0.2181,-13.519,5.183,paddy_rice
0.3563,-0.3646,-22.294,6.913,wheat_cereal
0.7128,-0.2573,-19.992,4.153,wheat_cereal
0.5021,-0.0405,-17.053,6.585,paddy_rice
0.6123,-0.2574,-19.9,10.537,wheat_cereal
0.3883,-0.1258,-14.707,5.879,other_row_crop
0.4507,-0.0081,-17.326,3.932,paddy_rice
0.5474,-0.0961,-18.153,9.122,other_row_crop
